date,region,sales,inventory,competitor_discount,temperature
2026-04-01,North,4259.61,1000.0,0,21.7
2026-04-02,North,4301.12,989.4,0,24.3
2026-04-03,North,4681.98,970.6,0,26.8
2026-04-04,North,4260.46,961.6,0,25.7
2026-04-05,North,4098.87,967.5,0,24.1
2026-04-06,North,4005.5,955.9,0,25.9
2026-04-07,North,3856.49,963.2,0,26.8
2026-04-08,North,4124.46,974.1,0,31.2
2026-04-09,North,4369.22,990.6,0,30.2
2026-04-10,North,4420.45,976.4,0,31.5
2026-04-11,North,4257.96,963.7,0,32.6
2026-04-12,North,4005.8,998.3,0,27.9
2026-04-13,North,4006.23,997.0,0,24.3
2026-04-14,North,4298.85,988.1,0,27.6
2026-04-15,North,4288.62,973.4,0,24.0
2026-04-16,North,4313.46,969.7,0,18.8
2026-04-17,North,4437.2,966.5,0,22.5
2026-04-18,North,4194.5,994.7,0,19.0
2026-04-19,North,3988.6,975.0,0,18.5
2026-04-20,North,3977.38,998.7,0,17.8
2026-04-21,North,3864.74,1000.0,0,14.5
2026-04-22,North,4019.02,983.8,0,16.6
2026-04-23,North,4301.79,1000.0,0,11.7
2026-04-24,North,4592.65,1000.0,0,14.6
2026-04-25,North,4373.56,1000.0,0,13.1
2026-04-26,North,4249.29,1000.0,0,15.7
2026-04-27,North,3593.15,981.5,0,17.7
2026-04-28,North,3795.2,992.0,0,19.4
2026-04-29,North,4173.64,996.7,0,19.5
2026-04-30,North,4339.84,981.3,0,21.8
2026-05-01,North,4395.46,1000.0,0,21.0
2026-05-02,North,4390.34,1000.0,0,26.0
2026-05-03,North,4006.26,1000.0,0,26.3
2026-05-04,North,4072.15,1000.0,0,27.1
2026-05-05,North,3881.2,993.7,0,27.3
2026-05-06,North,4352.85,1000.0,0,28.3
2026-05-07,North,4435.16,1000.0,0,29.1
2026-05-08,North,4445.02,1000.0,0,29.4
2026-05-09,North,4310.81,1000.0,0,30.8
2026-05-10,North,3956.67,1000.0,0,32.4
2026-05-11,North,3677.27,997.1,0,28.9
2026-05-12,North,3977.73,1000.0,0,27.1
2026-05-13,North,4176.92,988.7,0,27.3
2026-05-14,North,4475.33,983.2,0,25.2
2026-05-15,North,4629.62,977.5,0,25.2
2026-05-16,North,4233.95,995.4,0,24.8
2026-05-17,North,4140.26,980.8,0,24.7
2026-05-18,North,3848.31,972.0,0,20.6
2026-05-19,North,3977.41,992.7,0,16.3
2026-05-20,North,4201.1,986.3,0,15.3
2026-05-21,North,4307.07,1000.0,0,16.0
2026-05-22,North,4566.94,988.3,0,14.1
2026-05-23,North,4236.17,1000.0,0,13.4
2026-05-24,North,4027.03,1000.0,0,15.2
2026-05-25,North,3934.82,1000.0,0,17.0
2026-05-26,North,3926.51,1000.0,0,14.7
2026-05-27,North,4231.19,1000.0,0,17.6
2026-05-28,North,4590.48,1000.0,0,15.6
2026-05-29,North,4522.54,1000.0,0,19.4
2026-05-30,North,4357.32,980.6,0,22.0
2026-05-31,North,4105.0,960.9,0,20.6
2026-06-01,North,3928.5,982.4,0,21.2
2026-06-02,North,3822.49,1000.0,0,26.6
2026-06-03,North,4109.86,1000.0,0,24.4
2026-06-04,North,4550.15,1000.0,0,28.8
2026-06-05,North,4388.36,1000.0,0,29.2
2026-06-06,North,4223.42,1000.0,0,28.0
2026-06-07,North,4175.28,1000.0,0,29.5
2026-06-08,North,3909.08,1000.0,0,32.9
2026-06-09,North,3796.68,1000.0,0,29.5
2026-06-10,North,4071.49,1000.0,0,29.9
2026-06-11,North,4419.65,1000.0,0,29.4
2026-06-12,North,4390.86,1000.0,0,23.7
2026-06-13,North,4219.04,1000.0,0,24.2
2026-06-14,North,4090.62,1000.0,0,24.4
2026-06-15,North,3935.24,1000.0,0,20.4
2026-06-16,North,3972.44,1000.0,0,18.1
2026-06-17,North,4304.69,1000.0,0,20.9
2026-06-18,North,4269.23,1000.0,0,15.4
2026-06-19,North,4529.01,1000.0,0,16.6
2026-06-20,North,4391.97,1000.0,0,22.8
2026-06-21,North,4229.54,1000.0,0,16.4
2026-06-22,North,3869.69,1000.0,0,15.6
2026-06-23,North,3985.25,982.2,0,12.3
2026-06-24,North,4477.76,979.3,0,10.7
2026-06-25,North,4384.81,961.6,0,15.2
2026-06-26,North,4435.85,949.2,0,18.2
2026-06-27,North,4517.41,942.2,0,17.6
2026-06-28,North,3982.19,925.3,0,19.2
2026-06-29,North,4194.21,943.5,0,24.0
2026-04-01,South,3556.98,1000.0,0,22.4
2026-04-02,South,3981.21,984.7,0,20.3
2026-04-03,South,4153.08,989.2,0,27.0
2026-04-04,South,3890.06,984.3,0,26.1
2026-04-05,South,3881.69,1000.0,0,28.8
2026-04-06,South,3552.8,1000.0,0,32.2
2026-04-07,South,3383.13,1000.0,0,28.6
2026-04-08,South,3771.51,985.9,0,33.7
2026-04-09,South,3645.6,976.3,0,27.9
2026-04-10,South,3853.08,993.2,0,27.0
2026-04-11,South,3877.36,995.7,0,29.2
2026-04-12,South,3676.86,1000.0,0,32.6
2026-04-13,South,3389.74,984.2,0,27.6
2026-04-14,South,3541.16,999.4,0,25.4
2026-04-15,South,3813.62,1000.0,0,25.0
2026-04-16,South,3960.73,1000.0,0,26.2
2026-04-17,South,4074.26,1000.0,0,21.5
2026-04-18,South,3871.79,999.1,0,19.2
2026-04-19,South,3599.11,986.2,0,19.0
2026-04-20,South,3621.76,1000.0,0,19.0
2026-04-21,South,3662.99,996.9,0,16.3
2026-04-22,South,3866.21,1000.0,0,13.0
2026-04-23,South,4032.04,1000.0,0,14.3
2026-04-24,South,4012.17,1000.0,0,16.4
2026-04-25,South,3904.04,1000.0,0,16.6
2026-04-26,South,3620.89,1000.0,0,15.6
2026-04-27,South,3664.18,999.2,0,16.1
2026-04-28,South,3536.74,979.9,0,19.0
2026-04-29,South,3838.9,1000.0,0,18.5
2026-04-30,South,4264.03,1000.0,0,22.5
2026-05-01,South,3971.76,1000.0,0,19.6
2026-05-02,South,4022.65,1000.0,0,25.0
2026-05-03,South,3668.37,983.5,0,23.5
2026-05-04,South,3256.72,1000.0,0,30.2
2026-05-05,South,3466.39,988.6,0,27.3
2026-05-06,South,3873.66,974.6,0,31.6
2026-05-07,South,4063.95,959.0,0,28.6
2026-05-08,South,4159.57,943.9,0,31.7
2026-05-09,South,3756.4,972.7,0,27.1
2026-05-10,South,3590.13,957.7,0,32.3
2026-05-11,South,3544.83,963.1,0,31.9
2026-05-12,South,3529.17,971.2,0,27.9
2026-05-13,South,3838.73,996.0,0,25.0
2026-05-14,South,4093.67,998.5,0,25.4
2026-05-15,South,4175.3,991.9,0,22.9
2026-05-16,South,3938.52,1000.0,0,24.0
2026-05-17,South,3681.56,1000.0,0,18.8
2026-05-18,South,3780.61,1000.0,0,19.6
2026-05-19,South,3823.83,1000.0,0,15.8
2026-05-20,South,3786.69,1000.0,0,18.0
2026-05-21,South,3933.78,1000.0,0,13.9
2026-05-22,South,4216.39,984.7,0,10.8
2026-05-23,South,3971.18,983.2,0,17.8
2026-05-24,South,3738.4,973.0,0,16.0
2026-05-25,South,3349.09,1000.0,0,18.1
2026-05-26,South,3556.62,1000.0,0,14.5
2026-05-27,South,3594.42,1000.0,0,18.8
